Time;Open;High;Low;Close;Volume
2025.11.07 17:45;24800.36;24809.16;24718.62;24745.63;3633
2025.11.07 18:00;24744.62;24776.62;24708.62;24768.86;3576
2025.11.07 18:15;24767.66;24860.86;24766.40;24830.65;3655
2025.11.07 18:30;24828.62;24856.65;24794.16;24809.11;3552
2025.11.07 18:45;24808.91;24844.63;24756.28;24840.92;3563
2025.11.07 19:00;24841.62;24875.17;24821.91;24872.67;3482
2025.11.07 19:15;24872.63;24919.85;24849.66;24917.81;3433
2025.11.07 19:30;24917.16;24952.06;24894.15;24929.37;3455
2025.11.07 19:45;24929.11;24942.15;24856.62;24921.86;3491
2025.11.07 20:00;24921.41;24952.27;24900.00;24947.00;3376
2025.11.07 20:15;24947.98;24962.79;24922.48;24949.28;3303
2025.11.07 20:30;24949.74;25101.02;24949.74;25092.50;3560
2025.11.07 20:45;25092.24;25115.04;25045.77;25113.23;3617
2025.11.07 21:00;25113.25;25124.28;25061.73;25104.73;3631
2025.11.07 21:15;25104.77;25109.48;25023.28;25054.00;3631
2025.11.07 21:30;25053.99;25135.25;25053.99;25130.24;3558
2025.11.07 21:45;25130.29;25145.99;25064.54;25145.53;2780
2025.11.10 00:00;25363.30;25375.48;25322.94;25343.44;2115
2025.11.10 00:15;25343.99;25346.97;25299.43;25303.98;1873
2025.11.10 00:30;25304.20;25304.20;25304.20;25304.20;1
