Time;Open;High;Low;Close;Volume
2025.11.10 17:30;25482.13;25515.88;25451.37;25483.16;3594
2025.11.10 17:45;25482.62;25523.16;25461.37;25520.62;3534
2025.11.10 18:00;25520.67;25573.92;25510.62;25517.17;3476
2025.11.10 18:15;25518.65;25564.81;25506.67;25549.82;3405
2025.11.10 18:30;25549.67;25613.42;25549.67;25591.37;3011
2025.11.10 18:45;25591.57;25645.12;25591.57;25634.41;2864
2025.11.10 19:00;25635.37;25652.83;25633.41;25646.56;2567
2025.11.10 19:15;25646.87;25656.37;25628.31;25631.63;2662
2025.11.10 19:30;25633.66;25672.38;25632.65;25668.06;2683
2025.11.10 19:45;25668.36;25681.42;25644.17;25645.88;2725
2025.11.10 20:00;25646.11;25675.04;25642.23;25661.29;2686
2025.11.10 20:15;25661.28;25695.53;25656.28;25686.28;2446
2025.11.10 20:30;25686.23;25700.50;25675.99;25697.02;2426
2025.11.10 20:45;25697.49;25715.29;25693.48;25701.28;2601
2025.11.10 21:00;25700.27;25726.79;25699.73;25723.98;2643
2025.11.10 21:15;25723.74;25723.74;25696.25;25708.75;2782
2025.11.10 21:30;25708.98;25736.25;25697.54;25734.52;2890
2025.11.10 21:45;25734.53;25759.04;25709.50;25713.52;3290
2025.11.10 22:00;25711.75;25741.77;25708.04;25733.77;2293
2025.11.10 22:15;25733.54;25733.54;25733.54;25733.54;1
