Time;Open;High;Low;Close;Volume
2025.11.07 09:45;25295.12;25316.81;25294.87;25311.61;1993
2025.11.07 10:00;25310.91;25327.42;25281.86;25322.61;2343
2025.11.07 10:15;25322.65;25325.42;25271.38;25275.11;2092
2025.11.07 10:30;25275.42;25282.36;25244.37;25256.16;2222
2025.11.07 10:45;25255.86;25272.40;25239.86;25257.86;2118
2025.11.07 11:00;25258.63;25276.41;25219.61;25219.91;2137
2025.11.07 11:15;25220.15;25225.15;25186.13;25217.86;2418
2025.11.07 11:30;25217.92;25246.16;25215.15;25228.38;2137
2025.11.07 11:45;25227.62;25233.62;25209.91;25217.66;2038
2025.11.07 12:00;25217.90;25217.90;25122.40;25123.67;2374
2025.11.07 12:15;25123.37;25157.92;25099.65;25124.65;2893
2025.11.07 12:30;25124.41;25137.88;25083.63;25137.88;2792
2025.11.07 12:45;25138.36;25190.36;25134.90;25178.38;2606
2025.11.07 13:00;25178.61;25190.16;25157.88;25179.87;2502
2025.11.07 13:15;25179.91;25194.15;25145.11;25159.63;2631
2025.11.07 13:30;25159.38;25159.92;25106.11;25107.11;2462
2025.11.07 13:45;25106.90;25111.41;25062.87;25091.11;2858
2025.11.07 14:00;25091.15;25137.12;25068.62;25104.90;2935
2025.11.07 14:15;25104.92;25145.91;25070.30;25076.53;2726
2025.11.07 14:30;25075.81;25075.81;25075.81;25075.81;1
